type,error,date,time,details
Error,Access Denied,Aug 22,09:08:19," AuditEvent [timestamp=Tue Aug 22 16:08:19 UTC 2017, principal=anonymousUser, type=AUTHORIZATION_FAILURE, data={type=org.springframework.security.access.AccessDeniedException, message=Access is denied}]"
Error,Access Denied,Aug 22,09:28:37," AuditEvent [timestamp=Tue Aug 22 16:28:37 UTC 2017, principal=anonymousUser, type=AUTHORIZATION_FAILURE, data={type=org.springframework.security.access.AccessDeniedException, message=Access is denied}]"
Error,Access Denied,Aug 22,09:33:37," AuditEvent [timestamp=Tue Aug 22 16:33:37 UTC 2017, principal=anonymousUser, type=AUTHORIZATION_FAILURE, data={type=org.springframework.security.access.AccessDeniedException, message=Access is denied}]"
Error,Access Denied,Aug 22,09:38:37," AuditEvent [timestamp=Tue Aug 22 16:38:37 UTC 2017, principal=anonymousUser, type=AUTHORIZATION_FAILURE, data={type=org.springframework.security.access.AccessDeniedException, message=Access is denied}]"
Error,Access Denied,Aug 22,09:43:37," AuditEvent [timestamp=Tue Aug 22 16:43:37 UTC 2017, principal=anonymousUser, type=AUTHORIZATION_FAILURE, data={type=org.springframework.security.access.AccessDeniedException, message=Access is denied}]"
Error,Access Denied,Aug 22,09:48:37," AuditEvent [timestamp=Tue Aug 22 16:48:37 UTC 2017, principal=anonymousUser, type=AUTHORIZATION_FAILURE, data={type=org.springframework.security.access.AccessDeniedException, message=Access is denied}]"
Error,Access Denied,Aug 22,09:53:37," AuditEvent [timestamp=Tue Aug 22 16:53:37 UTC 2017, principal=anonymousUser, type=AUTHORIZATION_FAILURE, data={type=org.springframework.security.access.AccessDeniedException, message=Access is denied}]"
Error,Access Denied,Aug 22,09:58:37," AuditEvent [timestamp=Tue Aug 22 16:58:37 UTC 2017, principal=anonymousUser, type=AUTHORIZATION_FAILURE, data={type=org.springframework.security.access.AccessDeniedException, message=Access is denied}]"
Error,Access Denied,Aug 22,10:03:37," AuditEvent [timestamp=Tue Aug 22 17:03:37 UTC 2017, principal=anonymousUser, type=AUTHORIZATION_FAILURE, data={type=org.springframework.security.access.AccessDeniedException, message=Access is denied}]"
Error,Access Denied,Aug 22,10:08:37," AuditEvent [timestamp=Tue Aug 22 17:08:37 UTC 2017, principal=anonymousUser, type=AUTHORIZATION_FAILURE, data={type=org.springframework.security.access.AccessDeniedException, message=Access is denied}]"
